"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
404,77194,44698.64,59258.27,185.41,1672,406,0,17.98
405,83865,44712.30,59247.33,108.84,706,418,0,15.90
406,101400,44727.38,59249.26,166.40,1250,402,0,19.11
407,101401,44727.38,59249.26,166.40,1250,402,0,19.11
408,0,44727.85,59270.92,198.38,1975,415,0,17.43
409,1,44727.85,59270.92,198.38,1975,415,0,17.43
410,14,44757.24,59274.06,218.42,2767,412,0,15.55
411,39,44729.67,59276.98,193.17,2019,420,0,16.32
412,40,44729.67,59276.98,193.17,2019,420,0,16.32
413,137,44728.66,59279.12,216.92,2771,409,0,14.99
414,214,44691.11,59273.28,185.78,1615,419,0,18.72
415,219,44713.37,59272.68,230.14,2838,411,0,17.25
416,230,44760.77,59267.22,224.96,2375,410,0,18.75
417,231,44760.77,59267.22,224.96,2375,410,0,18.75
418,235,44742.34,59278.95,173.11,1645,413,0,16.05
419,240,44753.79,59270.24,194.19,2004,418,0,16.94
420,251,44694.18,59271.19,185.30,1633,425,0,18.72
421,263,44726.17,59277.69,200.39,2415,414,0,15.46
422,274,44716.91,59277.45,220.55,2859,402,0,15.57
423,287,44717.96,59279.17,189.20,1871,410,0,16.69
424,288,44717.96,59279.17,189.20,1871,410,0,16.69
425,289,44712.50,59274.10,206.33,2186,419,0,17.60
426,299,44723.46,59271.01,165.18,1631,415,0,14.89
427,300,44689.26,59279.77,174.27,1747,421,0,15.80
428,310,44710.62,59268.41,162.12,1438,420,0,16.41
429,311,44710.62,59268.41,162.12,1438,420,0,16.41
430,315,44706.71,59277.45,187.17,1880,421,0,16.46
431,332,44758.24,59270.46,217.85,2700,400,0,15.61
432,350,44725.68,59276.87,222.13,2720,410,0,16.00
433,360,44744.67,59277.15,206.76,2373,412,0,16.56
434,379,44704.68,59273.64,214.24,1831,426,0,22.00
435,392,44700.97,59272.35,150.61,1403,425,0,14.73
436,421,44685.43,59278.62,206.05,2013,414,0,18.68
437,458,44730.27,59269.70,216.82,2687,409,0,15.88
438,487,44724.90,59271.19,236.49,2560,415,0,20.28
439,488,44724.90,59271.19,236.49,2560,415,0,20.28
440,501,44689.60,59276.97,194.55,2208,412,0,15.09
441,522,44770.98,59278.44,155.83,1305,416,0,16.63
442,527,44704.96,59277.47,214.26,2411,403,0,16.57
443,529,44729.97,59273.89,172.04,1621,426,0,16.45
444,530,44729.97,59273.89,172.04,1621,426,0,16.45
445,552,44691.80,59276.40,195.40,2572,400,0,13.46
446,553,44677.48,59267.02,214.38,2416,410,0,16.74
447,554,44677.48,59267.02,214.38,2416,410,0,16.74
448,557,44711.74,59279.05,206.59,2719,401,0,14.11
449,572,44703.02,59275.88,192.63,1867,413,0,17.34
450,573,44703.02,59275.88,192.63,1867,413,0,17.34
451,629,44685.52,59273.09,219.50,2520,397,0,16.59
452,639,44713.41,59272.93,160.85,1256,420,0,18.39
453,652,44710.03,59270.66,208.71,2331,415,0,17.00
454,662,44756.78,59272.17,161.40,1376,425,0,16.94
